C_T,C_T,C_T,C_T,C_T,C_T,C_p,C_p,C_p,C_p,C_p,C_p,\eta,\eta,\eta,\eta,\eta,\eta
St_model,y_model,St_experiment,y_experiment,St_analytical,y_analytical,St_model,y_model,St_experiment,y_experiment,St_analytical,y_analytical,St_model,y_model,St_experiment,y_experiment,St_analytical,y_analytical
0.10093457943925235,0.17142857142857146,0.08878504672897196,0.09870129870129873,0.10560747663551401,0.17662337662337657,0.10090090090090087,0.22473092561588132,0.08828828828828823,0.1470780515028301,0.09189189189189187,0.20719126205851848,0.10486096423017104,0.7822805598755833,0.09095614307931568,0.6597026438569207,0.08944572317262826,0.7943116640746501
0.19813084112149532,0.32727272727272744,0.11682242990654204,0.19220779220779213,0.1925233644859813,0.30389610389610394,0.1990990990990991,0.40706370086901045,0.11711711711711709,0.2350633819660366,0.1954954954954955,0.37880889739296747,0.20001493001555207,0.8016398133748056,0.11991539657853804,0.830740902021773,0.1919253499222395,0.8158307931570763
0.29813084112149535,0.4987012987012987,0.1747663551401869,0.2779220779220778,0.288785046728972,0.4805194805194804,0.29729729729729737,0.6283345292194846,0.17387387387387385,0.32255441281989927,0.37117117117117115,0.8535756995933985,0.29759502332814936,0.786660031104199,0.17688833592534994,0.8692777604976673,0.40250575427682744,0.7743850699844479
0.3981308411214953,0.6883116883116884,0.2196261682242991,0.3454545454545453,0.3635514018691589,0.6493506493506495,0.39819819819819824,0.9168141592920351,0.21981981981981985,0.41731643147572317,0.47657657657657665,1.304807462329586,0.3967825816485226,0.74769766718507,0.2222108864696734,0.8320970451010887,0.5947421461897356,0.7242699844479005
0.5018691588785047,0.935064935064935,0.2626168224299065,0.4285714285714285,0.4691588785046729,0.9766233766233766,0.5045045045045045,1.3326317467910387,0.26396396396396404,0.5262696324643226,0.5936936936936936,1.9753009646814954,0.5004118195956455,0.6950992223950234,0.26777729393468125,0.8216186625194402,0.2904584758942457,0.8052080870917574
0.5971962616822429,1.2025974025974024,0.3551401869158879,0.6103896103896103,0.5738317757009346,1.3688311688311692,0.5990990990990992,1.854851311488479,0.3558558558558559,0.7193334927848198,,,0.5949038880248834,0.6419807153965785,0.35393343701399693,0.8557163297045103,0.4954251944012443,0.7490637636080871
,,0.4514018691588786,0.8155844155844155,,,,,0.40270270270270275,0.8388583273539022,,,,,0.40224447900466576,0.8457754276827373,,
,,0.4906542056074766,0.8727272727272727,,,,,0.45585585585585586,0.9936697759706604,,,,,0.4530562986003111,0.8096696734059098,,
,,,,,,,,0.49279279279279287,1.1346089452284138,,,,,0.49007527216174185,0.7632472783825817,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
