C_T,C_T,C_T,C_T,C_T,C_T,C_p,C_p,C_p,C_p,C_p,C_p,\eta,\eta,\eta,\eta,\eta,\eta
St_model,y_model,St_experiment,y_experiment,St_analytical,y_analytical,St_model,y_model,St_experiment,y_experiment,St_analytical,y_analytical,St_model,y_model,St_experiment,y_experiment,St_analytical,y_analytical
0.10590895265132312,0.056807259454527054,0.09175707188482206,0.021825002534725718,0.10661867585927202,0.057658927304065716,0.10581339283181909,0.06471594830438773,0.08989061480718137,0.06976449566524509,0.09889291217985685,0.06477267355563338,0.10553778425286593,0.9078846519288022,0.09096883511750171,0.33916355228985884,0.0903005637549884,0.9185548235890291
0.20192233600324444,0.08716617661968969,0.13442968670789818,0.03531785460813136,0.19615330021291696,0.11881476224272518,0.20263961502462824,0.11638130713887229,0.1341325290953268,0.11202480784321114,0.20052376315316764,0.1508248796951963,0.20187020966618077,0.7876718185849119,0.13526160765186535,0.33732976499651623,0.20528441122442506,0.8275590675872555
0.30145797424718646,0.13289465679813442,0.18281050390347764,0.0428034066713982,0.4072837878941498,0.5273142046030618,0.3021735225435603,0.22048348822478325,0.1825267317746495,0.15425108487043016,0.3902451476274664,0.6623845404781941,0.3017181858491163,0.6194764679799836,0.18237157154620887,0.29299106860074753,0.3071023627034901,0.7513951352378543
0.40309844874784545,0.19143465477035385,0.23189090540403529,0.05541417418635303,,,0.4029950932657673,0.4081816720713225,0.23367021829767526,0.21284826940712667,0.39506112145821726,0.686935229217286,0.4022170139988598,0.4869924621524041,0.230825996072718,0.2830050041173118,0.4005748400582756,0.7107572686387535
0.49759910777653865,0.259406874176214,0.2831390043597283,0.054340464361755825,,,0.49817061064732976,0.6910081022567198,0.2806406171707336,0.2895124464655442,,,0.49783366060682843,0.38735985304364356,0.282122949262051,0.2085465889656048,0.50440552353202,0.6895546969025148
0.5878393997769442,0.323123796005272,0.33011659738416305,0.05328500456250618,,,0.5890803891352236,1.0722301532527205,0.3296890510810888,0.36452024618759055,,,0.5899600937480203,0.3137423196300755,0.3299296889846076,0.16010324950908988,0.5957718375878887,0.6749604104643064
,,0.38059413971408296,0.07700091250126702,,,,,0.38076446730261987,0.48213438212020104,,,,,0.37974282637613216,0.1721131310571994,,
,,0.4318909054040353,0.05541417418635311,,,,,0.43184744689098353,0.5931910790088208,,,,,0.4317207195794007,0.10727972382339933,,
,,0.48884923451282575,0.04747845483118704,,,,,0.48977716430469026,0.7681260813251021,,,,,0.4891952239184138,0.0768844618990313,,
