C_T,C_T,C_T,C_T,C_T,C_T,C_p,C_p,C_p,C_p,C_p,C_p,\eta,\eta,\eta,\eta,\eta,\eta
St_model,y_model,St_experiment,y_experiment,St_analytical,y_analytical,St_model,y_model,St_experiment,y_experiment,St_analytical,y_analytical,St_model,y_model,St_experiment,y_experiment,St_analytical,y_analytical
0.10253140391737624,0.16488106601504332,0.08977511358863734,0.07648428849604805,0.09658661372227102,0.15469436065824105,0.1030976066187334,0.20279720279720215,0.09033290653008964,0.13986013986013912,0.09814833054269675,0.1888111888111884,0.10523843863833872,0.7873005306854535,0.09155156154656902,0.5404300955973447,0.09567130785303521,0.7973373273423199
0.1990760184796304,0.29897292963231636,0.13143446221984653,0.17253254934901294,0.20129815585506475,0.2989271123668431,0.19913326110509214,0.38811188811188746,0.1334186939820743,0.2307692307692305,0.1927459864079583,0.35314685314685235,0.2013609215805921,0.7807769826741371,0.13383998076958634,0.7364212939849486,0.2177696418335459,0.7937907952885488
0.3015883318697263,0.4556221602840669,0.17601084341949524,0.24377839715932942,0.3887824061700584,0.7404222824634414,0.30087166354772,0.6223776223776221,0.17650940608687088,0.3251748251748253,0.2987786861026298,0.6363636363636366,0.3011223904883416,0.7311625154860304,0.17816608420702276,0.7562508089717277,0.31086333462768817,0.7572788964701098
0.4012179756404872,0.6556297964949789,0.2213852086594632,0.34593562674201034,0.5425604215188424,1.3805505708067654,0.40421550280705215,0.9965034965034965,0.22242686890574215,0.4265734265734267,0.40084704028366,1.104895104895105,0.4017529261663061,0.6623139365026535,0.2235091806734343,0.7876148739853185,0.40491115179083226,0.7192248664040978
0.5009087090985453,0.8886258638463591,0.26747355961971675,0.43364514527891235,,,0.5007042253521128,1.5034965034965035,0.2669999015069438,0.5734265734265735,0.44911848714665625,1.3776223776223775,0.499016290379246,0.5930936927941419,0.2676577726003587,0.7705219947855996,0.5037998557718978,0.688075294465709
0.5954450001909053,1.1382230537207434,0.31281356191058,0.51724638234508,,,0.5952723333005023,2.1468531468531475,0.31293706293706297,0.6888111888111887,0.4910371318822024,1.63986013986014,0.5934357722675246,0.53234592555611,0.3127678852092233,0.7534254174294115,0.5979290323773598,0.6669440284018419
,,0.3560383337787789,0.6586231911725398,,,,,0.3589727174234217,0.874125874125874,0.5223283758495028,1.8566433566433571,,,0.3570237236737486,0.7586398180507019,,
,,0.4051238975220496,0.7648276125386578,,,,,0.40434846843297556,1.0909090909090908,0.5529498670343742,2.0979020979020984,,,0.4048556794437973,0.707686618220817,,
,,0.4564697796953152,0.8916039861020959,,,,,0.4574509997045209,1.2937062937062938,0.5857382054565154,2.377622377622378,,,0.4586416671289363,0.6951720567297204,,
,,0.49546981787636973,0.9516246038715588,,,,,0.4970993794937457,1.4440559440559437,,,,,0.49505001756624334,0.6681089476895768,,
,,,,,,,,,,,,,,,,,
